Country,Year,GDP,Inflation,School Enrollment,Unemployment
Bangladesh,2000,53369787318.6245,2.20825620937535,,3.27
Bangladesh,2001,53991289844.3291,2.0071737421384,,3.61
Bangladesh,2002,54724081490.5102,3.33256493271913,,3.966
Bangladesh,2003,60158929188.2556,5.66870773441476,,4.32
Bangladesh,2004,65108544250.0425,7.5875363850469,,4.314
Bangladesh,2005,69476001239.419,7.04661816222039,99.953498840332,4.25
Bangladesh,2006,71795736172.1561,6.76526117054757,99.9751205444336,3.591
Bangladesh,2007,79611644974.5571,9.10698496905383,98.1889877319336,4.017
Bangladesh,2008,91636997370.9772,8.90194489465154,95.1065979003906,4.492
Bangladesh,2009,102475158190.998,5.42347236174679,97.6258010864258,5.0
Bangladesh,2010,115275540051.262,8.12667639169917,99.7353480605127,3.379
Bangladesh,2011,128607482310.357,11.3951651552399,,3.736
Bangladesh,2012,133310747603.483,6.21750422069284,,4.071
Bangladesh,2013,149998957434.186,7.53040640913172,,4.426
Bangladesh,2014,172886611653.786,6.99163889220849,,4.416
Bangladesh,2015,195146608978.131,6.19428022984984,,4.396
Bangladesh,2016,265224515675.034,5.51352572692995,,4.35
Bangladesh,2017,293732446624.596,5.70207015717239,109.125360305532,4.372
Bangladesh,2018,321362752441.78,5.54362139486476,112.427695363555,4.407
Bangladesh,2019,351231654603.692,5.59199639930629,,4.441
Bangladesh,2020,373979442362.193,5.69107474746211,118.429237365723,5.436
Bangladesh,2021,416271647911.014,5.54565430773473,115.448180712787,5.327
Bangladesh,2022,460131689083.083,7.69695437176898,117.659457498739,4.593
India,2000,468395521654.458,4.0094359104519,93.9977722167969,7.624
India,2001,485440139204.171,3.77929312235637,98.9954681396484,7.653
India,2002,514939140318.756,4.29715203929563,98.0657272338867,7.753
India,2003,607700687237.318,3.80585899528851,106.22322845459,7.68
India,2004,709152728830.775,3.76725173477515,,7.625
India,2005,820383763511.445,4.24634362031922,,7.552
India,2006,940259888787.721,5.79652337561634,,7.552
India,2007,1216736438834.96,6.37288135593231,114.114318847656,7.561
India,2008,1198895139005.92,8.34926704907581,114.626556396484,7.656
India,2009,1341888016994.9,10.8823529411764,113.051681518555,7.664
India,2010,1675615519484.96,11.9893899204244,112.527946472168,7.652
India,2011,1823051829894.55,8.91179336483371,109.70790287368,7.616
India,2012,1827637590410.41,9.47899691419801,111.775573730469,7.666
India,2013,1856721507621.58,10.0178784746102,113.416778564453,7.711
India,2014,2039126479154.52,6.66565671867899,111.584541320801,7.674
India,2015,2103588360044.94,4.90697344127256,112.937843322754,7.631
India,2016,2294796885663.16,4.94821634062141,119.512832641602,7.601
India,2017,2651474262755.45,3.32817337461298,117.868171691895,7.618
India,2018,2702929641648.74,3.9388264669163,101.097955965022,7.652
India,2019,2835606256558.19,3.72950573539129,99.5039236144817,6.51
India,2020,2674851578587.27,6.62343677628535,101.291253449929,7.859
India,2021,3167270623260.47,5.13140747176369,102.316123319201,6.38
India,2022,3346107287730.93,6.69903414079852,111.084455603874,4.822
Pakistan,2000,99484802344.5277,4.36666451291681,63.4712295532227,0.634
Pakistan,2001,97145618479.9038,3.14826144590618,63.471809387207,0.629
Pakistan,2002,97923302809.3537,3.29034472613153,63.8420181274414,0.635
Pakistan,2003,112371913740.823,2.91413470059479,65.7692565917969,0.63
Pakistan,2004,132216048339.413,7.44462469342739,69.646858215332,0.608
Pakistan,2005,145208562960.767,9.06332737030417,73.1828079223633,0.585
Pakistan,2006,161871385506.36,7.92108440058789,69.8638076782227,0.582
Pakistan,2007,184140869997.46,7.59868441050774,74.2201995849609,0.398
Pakistan,2008,202203748583.854,20.2861210929554,73.9127197265625,0.423
Pakistan,2009,187337783856.466,13.6477650639761,74.1731033325195,0.535
Pakistan,2010,196709621849.586,12.9388705634889,74.5181025649786,0.653
Pakistan,2011,230586581059.665,11.9160927116277,71.0259884181485,0.796
Pakistan,2012,250106966104.704,9.68235186055684,70.7852546541412,3.667
Pakistan,2013,258657231672.412,7.69215611899565,70.2436408942136,2.954
Pakistan,2014,271390474857.632,7.18938402847028,74.3189018516843,1.827
Pakistan,2015,299963590534.773,2.52932817254229,74.8479908789247,3.566
Pakistan,2016,313630000130.435,3.7651191635658,79.8399701958586,2.285
Pakistan,2017,339205534861.1,4.08537368032608,78.8430583504664,3.215
Pakistan,2018,356128166704.921,5.07805725868917,82.0333064173511,4.083
Pakistan,2019,320909472770.669,10.5783618004555,83.1845752333307,4.83
Pakistan,2020,300425609817.981,9.73999313898155,,6.127
Pakistan,2021,348516647445.148,9.49621056124947,84.3684597161784,6.338
Pakistan,2022,374890295666.694,19.8738599646655,82.6790063159857,5.485
